Vessel Name: 
Metric: Neurite Length [Phase] (mm/mm²)
Cell Type: 
Passage: 0
Notes: 
Analysis: 

Time Stamp:		Elapsed:	0	hours

	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24
A	4,960302	4,258681	7,993381	6,284708	8,36365	8,524619	11,62916	12,15061	13,2041	13,25092	14,30139	16,52525	16,03847	16,59844	17,44935	16,63132	15,59304	17,0057	14,53505	13,67701	16,20185	14,27804	15,2832	14,24932
B	3,626145	3,290411	7,84518	7,233894	8,538168	10,24352	10,68276	13,56756	13,69449	13,13943	15,96415	14,61693	15,79104	16,12716	14,77691	17,53328	17,09512	16,32363	17,62037	16,83178	15,31977	15,58869	13,8971	14,72341
C	3,076999	2,121197	5,912445	7,253362	9,594156	12,23653	12,87008	11,15957	14,61135	13,82492	16,04362	14,65419	16,95198	15,18817	15,20811	16,64442	16,89796	17,20904	16,5246	15,40971	15,46768	14,11247	15,74772	14,02404
D	2,637682	2,931096	7,149147	8,028212	9,936184	10,27801	11,81828	13,35099	14,48547	13,52409	16,4836	15,00492	16,49523	14,92676	14,76211	14,41622	16,31409	15,80377	14,79347	16,75716	15,84918	14,98562	15,41381	14,65827
E	2,256638	2,487151	6,794446	6,464481	10,34008	10,13045	13,54749	14,58895	15,78031	14,10475	16,068	14,87994	14,71433	17,08487	14,95587	16,26463	15,48301	16,62523	16,04695	17,00884	15,77473	16,31166	15,41608	14,89117
F	1,536263	1,809737	7,776216	8,440383	8,543601	10,90901	13,53682	11,9254	14,96755	14,56156	14,2468	15,34315	16,83978	16,24349	14,51532	16,11118	15,52301	15,07203	17,05029	14,60994	14,78709	15,5541	16,52347	15,45354
G	2,216781	2,071685	5,851843	6,349189	8,778544	13,03368	14,09514	13,46108	13,2689	13,72561	16,54571	17,16446	16,45909	14,08806	14,96634	15,58272	14,31871	14,75116	15,87777	17,13646	16,66351	16,55873	16,68805	16,03428
H	3,01239	1,93553	8,04354	7,915923	9,468154	12,83105	13,194	11,62526	15,06541	14,5534	14,88879	15,59238	16,2342	14,71902	15,63805	15,09286	16,40875	14,93348	16,59285	16,36554	15,96534	17,67301	14,88949	17,1507
I	3,22797	2,346298	6,847743	10,46728	11,6621	10,77427	13,6039	12,2693	14,01614	13,1552	14,09792	15,47412	15,86235	13,76334	14,05805	16,46655	14,83315	15,82972	16,96323	16,96246	16,38112	16,02877	14,00825	16,2245
J	2,469111	1,75655	7,668396	8,711908	10,08812	8,922534	12,45593	13,93154	14,45697	11,89651	14,79969	14,45447	16,82171	14,7848	12,92341	16,41901	17,27697	16,10779	15,39922	15,80006	17,34315	18,34531	15,31087	15,05043
K	3,179259	3,41064	8,787229	9,003743	12,56231	11,86883	15,38513	15,58022	15,09119	15,97379	16,6414	15,68552	16,53467	16,31537	17,5279	15,4384	16,18971	17,81946	15,60876	16,07951	13,59118	16,15898	16,00066	17,55509
L	5,418906	5,477952	11,24695	9,62501	11,88725	12,19996	13,67577	15,1442	15,54297	15,9839	16,02231	14,4582	15,69311	15,71196	16,71823	16,74325	15,63968	16,73041	18,01717	15,61939	16,42064	16,17122	17,07723	15,93172
M	2,656793	2,448611	6,871416	7,463379	11,04071	11,46434	14,50111	12,55468	14,47315	13,95809	15,68097	14,30833	15,57499	16,05179	14,59004	15,78063	15,90223	17,29645	14,68575	16,15607	14,76718	16,48312	16,83415	16,04096
N	15,06285	15,49921	12,12819	16,20313	17,97791	17,12935	18,40812	18,06437	16,49751	18,67302	17,37342	17,21514	15,22339	14,44109	17,67524	15,53917	17,21696	17,33921	17,27455	17,05378	16,56824	15,85647	17,29578	15,84826
O	5,452902	6,149493	7,787205	6,693078	9,520891	11,15628	13,1672	12,73429	13,91077	16,13041	16,77827	16,95639	15,44181	16,302	16,08351	15,94358	16,84013	16,37661	15,69845	14,86149	16,04652	17,27191	16,1789	15,08396
P	1,057504	1,0271	1,351762	1,549582	1,081447	0,8111375	2,034769	2,407191	3,522693	3,394848	3,677642	3,683179	4,26474	5,24539	6,768661	6,031804	6,657014	6,432434	7,411984	5,787779	8,724517	9,424455	13,89375	15,55546
