Count_Cytoplasm,FileName_Cell,FileName_Green,FileName_Nuclei,FileName_Red,Group_Index,Group_Number,ImageNumber,Math_CellConfluency,Mean_Cytoplasm_Math_RedGreenRatio,Median_Cytoplasm_Math_RedGreenRatio,Metadata_ExperimentName,Metadata_Well,StDev_Cytoplasm_Math_RedGreenRatio
2292,,,,,192,1,192,0.793291569,0.718780171,0.563306372,,H24,0.604047209
1880,,,,,193,1,193,0.640550375,1.057318406,1.071098472,,I01,0.739191217
1475,,,,,194,1,194,0.53477025,1.350270433,1.48455601,,I02,0.747766769
2002,,,,,195,1,195,0.689843655,1.078728373,1.101568381,,I03,0.81004801
2195,,,,,196,1,196,0.762458086,1.092648383,1.118924909,,I04,0.784514467
2273,,,,,197,1,197,0.748125315,1.051770329,1.053727232,,I05,0.781962269
1985,,,,,198,1,198,0.71891427,1.132112902,1.214914782,,I06,0.780689408
2121,,,,,199,1,199,0.793580532,0.981962086,0.900929265,,I07,0.749637015
2273,,,,,200,1,200,0.780765295,0.962983693,0.878725237,,I08,0.734531321
2142,,,,,201,1,201,0.764944792,0.906729381,0.799914617,,I09,0.711925975
2357,,,,,202,1,202,0.797367811,0.918486853,0.811103537,,I10,0.716649266
2267,,,,,203,1,203,0.780583382,0.828587933,0.691373133,,I11,0.673596274
2326,,,,,204,1,204,0.811024904,0.774053999,0.639155558,,I12,0.622874142
2185,,,,,205,1,205,0.751533508,0.7936888,0.637141719,,I13,0.643597066
2002,,,,,206,1,206,0.685508013,0.788180719,0.636701646,,I14,0.642645056
2170,,,,,207,1,207,0.739962101,0.761577038,0.613845704,,I15,0.634092274
2161,,,,,208,1,208,0.741840124,0.835403473,0.708797165,,I16,0.663373951
2134,,,,,209,1,209,0.737133026,0.757803702,0.588703287,,I17,0.627895346
2229,,,,,210,1,210,0.790106058,0.842512848,0.724235654,,I18,0.656091034
2154,,,,,211,1,211,0.703752041,0.790813417,0.645119801,,I19,0.641442351
2184,,,,,212,1,212,0.761191845,0.79478305,0.630302052,,I20,0.659180992
2423,,,,,213,1,213,0.818097115,0.800236526,0.644988698,,I21,0.650853947
2108,,,,,214,1,214,0.757786274,0.864838361,0.750902821,,I22,0.672049152
2350,,,,,215,1,215,0.811438799,0.757404685,0.624565395,,I23,0.605911759
2659,,,,,216,1,216,0.81036377,0.644415213,0.447306248,,I24,0.579078189
2340,,,,,217,1,217,0.806445122,0.930676289,0.841894618,,J01,0.721294698
1988,,,,,218,1,218,0.705630302,1.037503261,1.06549741,,J02,0.74750198
2350,,,,,219,1,219,0.750211716,1.01603827,0.974672487,,J03,0.774490393
2337,,,,,220,1,220,0.768945217,0.943919716,0.845679334,,J04,0.750680835
2519,,,,,221,1,221,0.841493607,1.029312198,0.996761457,,J05,0.794499615
2378,,,,,222,1,222,0.843418837,1.010259198,1.004716645,,J06,0.722718567
2181,,,,,223,1,223,0.756342649,0.971675266,0.878081122,,J07,0.741632227
2459,,,,,224,1,224,0.836812496,0.973329246,0.873242262,,J08,0.746810625
2054,,,,,225,1,225,0.754990816,0.724778753,0.667560697,,J09,0.524034103
1998,,,,,226,1,226,0.720644951,0.661149061,0.555918602,,J10,0.50909248
2251,,,,,227,1,227,0.76968956,0.861553178,0.737277701,,J11,0.676867212
2070,,,,,228,1,228,0.714956522,0.807452905,0.684262329,,J12,0.636211475
2379,,,,,229,1,229,0.854209423,0.898942775,0.771636355,,J13,0.691235076
2270,,,,,230,1,230,0.771589756,0.76239113,0.602527971,,J14,0.652377813
2138,,,,,231,1,231,0.773579121,0.826800304,0.723888544,,J15,0.644962415
2509,,,,,232,1,232,0.81650281,0.802073764,0.613349632,,J16,0.688567385
2204,,,,,233,1,233,0.81516099,0.791541365,0.676637789,,J17,0.633413173
2289,,,,,234,1,234,0.750315905,0.789126215,0.686203741,,J18,0.633087628
2390,,,,,235,1,235,0.768784285,0.739114746,0.541539006,,J19,0.641878045
2250,,,,,236,1,236,0.750442982,0.759749391,0.610847285,,J20,0.611325615
2330,,,,,237,1,237,0.754285812,0.764459063,0.583655918,,J21,0.652559298
2098,,,,,238,1,238,0.736452818,0.760855044,0.595296165,,J22,0.637729823
2347,,,,,239,1,239,0.75458312,0.756748816,0.643131246,,J23,0.609698621
2391,,,,,240,1,240,0.760780334,0.673218882,0.462798695,,J24,0.59237286
1434,,,,,241,1,241,0.505498648,0.788605468,0.775306018,,K01,0.488335235
1089,,,,,242,1,242,0.40714097,1.239793572,1.335768068,,K02,0.723814874
1727,,,,,243,1,243,0.648086548,1.233074857,1.367765753,,K03,0.771158009
