Count_Cytoplasm,FileName_Cell,FileName_Green,FileName_Nuclei,FileName_Red,Group_Index,Group_Number,ImageNumber,Math_CellConfluency,Mean_Cytoplasm_Math_RedGreenRatio,Median_Cytoplasm_Math_RedGreenRatio,Metadata_ExperimentName,Metadata_Well,StDev_Cytoplasm_Math_RedGreenRatio
2271,,,,,47,1,47,0.774699211,0.779600532,0.638821147,,B23,0.635012048
2404,,,,,48,1,48,0.815175295,0.7452426,0.595002311,,B24,0.61909714
1923,,,,,49,1,49,0.66835928,0.704645405,0.672793287,,C01,0.482047137
1832,,,,,50,1,50,0.627620459,0.976529695,0.995020335,,C02,0.696659252
2155,,,,,51,1,51,0.760073662,1.078920757,1.145612266,,C03,0.785367779
2156,,,,,52,1,52,0.744338036,1.12269839,1.156793253,,C04,0.797512101
2351,,,,,53,1,53,0.787652969,1.067746863,1.096605804,,C05,0.776494234
2306,,,,,54,1,54,0.816527843,1.019827698,0.94965099,,C06,0.770359482
2270,,,,,55,1,55,0.80652523,1.005725517,0.9497534,,C07,0.745725209
2146,,,,,56,1,56,0.756038189,0.94445453,0.843592959,,C08,0.735591757
2149,,,,,57,1,57,0.727588654,0.903635655,0.774645099,,C09,0.749090216
2114,,,,,58,1,58,0.772400856,0.914179523,0.871770011,,C10,0.654796036
2316,,,,,59,1,59,0.748684406,0.917231851,0.806307018,,C11,0.729583965
2325,,,,,60,1,60,0.776417971,0.936948884,0.894797038,,C12,0.702913387
2238,,,,,61,1,61,0.751524925,0.921060274,0.842501991,,C13,0.699313974
2261,,,,,62,1,62,0.757739782,0.833424395,0.662931666,,C14,0.684931526
2398,,,,,63,1,63,0.776316166,0.904085434,0.747937748,,C15,0.731884405
2013,,,,,64,1,64,0.739551306,0.616865326,0.485302171,,C16,0.479879106
1969,,,,,65,1,65,0.674828529,0.604256151,0.54123634,,C17,0.445780748
2182,,,,,66,1,66,0.762085438,0.791511963,0.661731857,,C18,0.640501493
2446,,,,,67,1,67,0.833937645,0.865726552,0.732458391,,C19,0.690600838
2266,,,,,68,1,68,0.783838511,0.95931623,0.886101241,,C20,0.716509891
2364,,,,,69,1,69,0.818656206,0.824450438,0.663379732,,C21,0.685219795
2310,,,,,70,1,70,0.77868104,0.82464521,0.64618323,,C22,0.675890143
2415,,,,,71,1,71,0.804970741,0.828907215,0.704025177,,C23,0.653119146
2322,,,,,72,1,72,0.773336411,0.757672291,0.616493043,,C24,0.610314139
1977,,,,,73,1,73,0.703446627,1.177399374,1.260062398,,D01,0.780751946
1686,,,,,74,1,74,0.585353136,1.239020108,1.337171787,,D02,0.803249855
2178,,,,,75,1,75,0.750239134,0.948392466,0.817589314,,D03,0.75682049
2157,,,,,76,1,76,0.785443306,1.12057656,1.234276035,,D04,0.773175357
2183,,,,,77,1,77,0.744278669,1.046425745,1.061690342,,D05,0.780952783
1993,,,,,78,1,78,0.707246542,0.821169489,0.760405873,,D06,0.612648782
2096,,,,,79,1,79,0.760430574,0.892907726,0.796605647,,D07,0.677207952
2254,,,,,80,1,80,0.743629932,0.919987488,0.76278282,,D08,0.728214741
2156,,,,,81,1,81,0.737555265,0.946004174,0.830243857,,D09,0.730811498
2132,,,,,82,1,82,0.699993849,0.843090552,0.694227832,,D10,0.706143634
2170,,,,,83,1,83,0.728520155,0.784697011,0.628363608,,D11,0.657320856
2348,,,,,84,1,84,0.756527424,0.84423957,0.657410282,,D12,0.707742267
2085,,,,,85,1,85,0.707082033,0.845117199,0.716985415,,D13,0.66174149
2303,,,,,86,1,86,0.751317024,0.820617874,0.639473332,,D14,0.68950779
2208,,,,,87,1,87,0.720508814,0.765899443,0.550724562,,D15,0.672805652
2363,,,,,88,1,88,0.750857115,0.792743367,0.616555884,,D16,0.673798153
1998,,,,,89,1,89,0.67250061,0.842187563,0.743664594,,D17,0.64466793
2237,,,,,90,1,90,0.787356615,0.80864325,0.666332355,,D18,0.653977868
2314,,,,,91,1,91,0.80107832,0.825888103,0.714296818,,D19,0.67170107
2240,,,,,92,1,92,0.74537468,0.887939668,0.823815761,,D20,0.685416127
2194,,,,,93,1,93,0.688831806,0.616507485,0.516452127,,D21,0.460200951
2310,,,,,94,1,94,0.791491985,0.871450378,0.759404709,,D22,0.707804188
2083,,,,,95,1,95,0.726559162,0.726963091,0.615932817,,D23,0.588941715
2274,,,,,96,1,96,0.770326376,0.718101891,0.549431152,,D24,0.619827137
1865,,,,,97,1,97,0.658667326,0.629975383,0.574436036,,E01,0.432574383
1507,,,,,98,1,98,0.548450708,1.048102141,1.052729141,,E02,0.701044223
1912,,,,,99,1,99,0.649580002,0.921719808,0.859777486,,E03,0.703140939
2023,,,,,100,1,100,0.676620483,0.868066602,0.730522602,,E04,0.700719615
1847,,,,,101,1,101,0.702035189,0.617593579,0.580529571,,E05,0.40512374
2281,,,,,102,1,102,0.752835035,0.894089682,0.750985332,,E06,0.728173565
2168,,,,,103,1,103,0.76927042,0.887541531,0.760139066,,E07,0.698710625
2030,,,,,104,1,104,0.712273121,0.851402997,0.720612917,,E08,0.668848263
2295,,,,,105,1,105,0.786472797,0.908049298,0.796503945,,E09,0.698797678
2170,,,,,106,1,106,0.750516176,0.90259465,0.775613472,,E10,0.686055637
2430,,,,,107,1,107,0.781647444,0.754097344,0.633048789,,E11,0.614431978
2473,,,,,108,1,108,0.75568223,0.836444089,0.65339268,,E12,0.706477106
2276,,,,,109,1,109,0.762602568,0.735269417,0.591655668,,E13,0.605221568
2192,,,,,110,1,110,0.725561857,0.84303169,0.725930361,,E14,0.653034544
2043,,,,,111,1,111,0.685657024,0.785193421,0.632755664,,E15,0.62042806
2282,,,,,112,1,112,0.732764006,0.78877434,0.627053266,,E16,0.660245882
2308,,,,,113,1,113,0.760848761,0.780324468,0.648671527,,E17,0.616715921
2352,,,,,114,1,114,0.762248755,0.826389325,0.684004747,,E18,0.661652768
1968,,,,,115,1,115,0.680278778,0.808323327,0.690961352,,E19,0.632759709
2433,,,,,116,1,116,0.82368803,0.820543422,0.67568964,,E20,0.645054279
2286,,,,,117,1,117,0.749450445,0.740928867,0.562298516,,E21,0.641686744
